,公司,年份,發言日期,發言時間,發言人,發言人職稱,發言人電話,主旨,符合條款,事實發生日,說明
0,1435,2015,104/01/19,16:39:02,廖桂珍,稽核室協理,(02)82422881,公告本公司代理發言人異動,第 8 款,104/01/19,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運
長、行銷長及策略長等)、財務主管、會計主管、研發主管、內部稽核主管或訴
訟及非訟代理人）:代理發言人
2.發生變動日期:104/01/19
3.舊任者姓名、級職及簡歷:黃惠英
4.新任者姓名、級職及簡歷:許美瑩
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:辭職
6.異動原因:新任
7.生效日期:104/01/19
8.其他應敘明事項:無"
1,1435,2015,104/03/02,15:11:27,廖桂珍,稽核室協理,(02)82422881,更正-公告本公司104年1月合併自結損益數申報誤值,第 49 款,104/03/02,"1.事實發生日:104/03/02
2.公司名稱:中福國際股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:不適用
6.報導內容:不適用
7.發生緣由:更正公告本公司104年1月合併自結損益
項目
本月合併營業損益(仟元):597
本年累計合併營業損益(仟元):597
本月合併稅前損益(仟元):719
本年累計合併稅前損益(仟元):719
8.因應措施:公告修正104年1月合併自結損益
9.其他應敘明事項:無"
2,1435,2015,104/03/06,18:28:27,廖桂珍,稽核室協理,(02)82422881,公告本公司董事會決議召開104年股東常會事宜,第 17 款,104/03/05,"1.董事會決議日期:104/03/05
2.股東會召開日期:104/06/23
3.股東會召開地點:新北市中和區景平路666號1樓
4.召集事由:
(一)報告事項
    1.本公司103年度營業狀況報告。
    2.監察人審查本公司103年度決算表冊報告。
(二)承認事項
    1.本公司103年度決算表冊案。
    2.本公司103年度虧損撥補案。
(三)討論及選舉事項
    1.全面改選董事及監察人案。
    2.擬解除新任董事競業禁止限制案。
(四)臨時動議
5.停止過戶起始日期:104/04/25
6.停止過戶截止日期:104/06/23
7.其他應敘明事項:
(一)股東提案權
1.持有1%以上股份之股東得以書面於所公告受理期間向本公司提出
  104年股東常會議案，提案限一項並以300字為限，提案超過一項
  或300字者，均不列入議案。
2.本公司受理股東之提案處所：新北市中和區景平路666號2樓。
3.?本公司受理股東之提案期間：104年4月17日起至104年4月27日止。
4.提案股東應親自或委託他人出席股東常會，並參與該項議案討論。
5.?以上所提及其他未盡事宜，均依公司法第172-1條規定辦理。"
3,1435,2015,104/03/06,18:56:35,廖桂珍,稽核室協理,(02)82422881,董事會決議股利分派,第 14 款,104/03/05,"1. 董事會決議日期：2015/03/05
2. 股東配發內容：
　(1)盈餘分配之現金股利(元/股)：0
　(2)法定盈餘公積、資本公積發放之現金(元/股)：0
　(3)股東配發之現金(股利)總金額(元)：0
　(4)盈餘轉增資配股(元/股)：0
　(5)法定盈餘公積、資本公積轉增資配股(元/股)：0
　(6)股東配股總股數(股)：0
3. 董監酬勞(元)：87,000
4. 員工紅利：
　(1)現金紅利金額(元)：0
　(2)股票紅利金額(元)：0
5. 其他應敘明事項：
無
6. 普通股每股面額欄位：新台幣                 10.0000元"
4,1435,2015,104/04/08,19:15:34,廖桂珍,稽核室協理,(02)82422881,更正3/6董事會決議股利分派公告之董監事酬金,第 14 款,104/03/05,"1.董事會決議日期:104/03/05
2.發放股利種類及金額:不適用
3.其他應敘明事項:更正本公司之董監酬金為0元"
5,1435,2015,104/05/07,18:01:31,廖桂珍,稽核室協理,(02)82422881,董事會決議召開104年股東常會補充公告,第 17 款,104/05/07,"1.董事會決議日期:104/05/07
2.股東會召開日期:104/06/23
3.股東會召開地點:新北市中和區景平路666號1樓
4.召集事由:
(一)報告事項:
    1.本公司103年度營業狀況報告。
    2.監察人審查本公司103年度決算表冊報告。
(二)承認事項:
    1.本公司103年度決算表冊案。
    2.本公司103年度虧損撥補案。
(三)討論事項:
    1.全面改選董事及監察人案。
    2.擬解除新任董事競業禁止限制案。
(四)持股百分之一以上股東提案事項:
    1.終止租賃廠房以外其他業務，以積極降低管理人力投入，增加股東
      權益。
(五)臨時動議:
5.停止過戶起始日期:104/04/25
6.停止過戶截止日期:104/06/23
7.其他應敘明事項:無"
6,1435,2015,104/05/11,18:29:08,廖桂珍,稽核室協理,(02)82422881,更正董事會決議召開104年股東常會補充公告,第 17 款,104/05/07,"1.董事會決議日期:104/05/07
2.股東會召開日期:104/06/23
3.股東會召開地點:新北市中和區景平路666號1樓
4.召集事由:
(一)報告事項:
    1.本公司103年度營業狀況報告。
    2.監察人審查本公司103年度決算表冊報告。
(二)承認事項:
    1.本公司103年度決算表冊案。
    2.本公司103年度虧損撥補案。
(三)討論及選舉事項:
    1.全面改選董事及監察人案。
    2.擬解除新任董事競業禁止限制案。
    3.其他議案:討論股東翁弘林之提案。(新增議案)
(四)臨時動議:
5.停止過戶起始日期:104/04/25
6.停止過戶截止日期:104/06/23
7.其他應敘明事項:無"
7,1435,2015,104/06/23,21:10:28,廖桂珍,稽核室協理,(02)82422881,104年股東常會重要決議事項,第 18 款,104/06/23,"1.股東常會日期:104/06/23
2.重要決議事項:
一、承認事項
    (一)通過承認本公司一0三年度決算表冊案。
    (二)通過承認本公司一0三年度盈虧撥補案。
二、討論及選舉事項
    (一)完成全面改選董事及監察人案。
        選舉董事五席、獨立董事二席、監察人二席
        當選名單如下:
        董事當選人:
          黃立中
          中福整合行銷有限公司代表人:黃清晏
          中福整合行銷有限公司代表人:胡立三
          中福整合行銷有限公司代表人:林健昌
          中福整合行銷有限公司代表人:林永冠
        獨立董事當選人:
          胡冠屹
          劉雪明
        監察人當選人:
          金志雄
          侯海熊
    (二)通過解除新任董事競業禁止限制案。
    (三)未通過股東翁弘林之提案。
三、臨時動議:無
3.年度財務報表之承認﹝請輸入是或否﹞:是
4.其他應敘明事項:不分派股利或股息"
8,1435,2015,104/06/23,21:10:59,廖桂珍,稽核室協理,(02)82422881,本公司104年全面改選董事當選名單,第 6 款,104/06/23,"1.發生變動日期:104/06/23
2.舊任者姓名及簡歷:
黃立中、中福國際股份有限公司董事長
黃清晏、中福國際股份有限公司副董事長
胡立三、先進醫藥奈米科技公司董事
林健昌、頂霖國際有限公司總裁
林永冠、豪英投資股份有限公司董事長
3.新任者姓名及簡歷:
黃立中、中福國際股份有限公司董事長
黃清晏、中福國際股份有限公司副董事長
胡立三、先進醫藥奈米科技公司董事
林健昌、頂霖國際有限公司總裁
林永冠、豪英投資股份有限公司董事長
4.異動情形（請輸入「辭職」、「解任」、「任期屆滿」或「新任」）:任期屆滿
5.異動原因:第17屆董事任期屆滿
6.新任董事選任時持股數:
黃立中           16,009,548股
黃清晏(法人董事) 13,547,770股
胡立三(法人董事) 13,547,770股
林健昌(法人董事) 13,547,770股
林永冠(法人董事) 13,547,770股
7.原任期（例xx/xx/xx ~ xx/xx/xx）:101/06/27~104/06/26
8.新任生效日期:104/06/23
9.同任期董事變動比率:任期屆滿全面改選，不適用
10.其他應敘明事項:本公司改選董事五席"
9,1435,2015,104/06/23,21:11:17,廖桂珍,稽核室協理,(02)82422881,本公司104年獨立董事當選名單,第 6 款,104/06/23,"1.發生變動日期:104/06/23
2.舊任者姓名及簡歷:無
3.新任者姓名及簡歷:
胡冠屹、兩岸經濟合作促進會秘書長
劉雪明、南山人壽股份有限公司區經理
4.異動情形（請輸入「辭職」、「解任」、「任期屆滿」或「新任」）:新任
5.異動原因:第18屆獨立董事新任
6.原任期（例xx/xx/xx ~ xx/xx/xx）:NA
7.新任生效日期:104/06/23
8.同任期董事變動比率:不適用
9.同任期獨立董事變動比率:不適用
10.第一上市公司目前在我國設有戶籍之獨立董事人數及姓名(非第一上市公司請填「不
適用」:不適用
11.其他應敘明事項:本公司選任獨立董事二席"
10,1435,2015,104/06/23,21:11:34,廖桂珍,稽核室協理,(02)82422881,本公司104年改選監察人當選名單,第 6 款,104/06/23,"1.發生變動日期:104/06/23
2.舊任者姓名及簡歷:
金志雄、中華國際聯合法律事務所
侯海熊、榮信法律事務所
3.新任者姓名及簡歷:
金志雄、中華國際聯合法律事務所
侯海熊、榮信法律事務所
4.異動情形（請輸入「辭職」、「解任」、「任期屆滿」或「新任」）:任期屆滿
5.異動原因:第17屆監察人任期屆滿
6.新任監察人選任時持股數:
金志雄、666,000股
侯海熊、440,000股
7.原任期（例xx/xx/xx ~ xx/xx/xx）:101/06/27~104/06/26
8.新任生效日期:104/06/23
9.同任期監察人變動比率:任期屆滿全面改選，不適用
10.其他應敘明事項:本公司改選監察人二席"
11,1435,2015,104/06/23,21:11:50,廖桂珍,稽核室協理,(02)82422881,本公司董事會推選董事長、副董事長案,第 6 款,104/06/23,"1.董事會決議日期或發生變動日期:104/06/23
2.舊任者姓名及簡歷:
董事長:黃立中、中福國際股份有限公司董事長
副董事長:黃清晏、中福國際股份有限公司副董事長
3.新任者姓名及簡歷:
黃立中、中福國際股份有限公司董事長
副董事長:黃清晏、中福國際股份有限公司副董事長
4.異動情形（請輸入「辭職」、「職務調整」、「解任」、「任期屆滿」或「新任」）:
任期屆滿
5.異動原因:第17屆董事長、副董事長任期屆滿
6.新任生效日期:104/06/23
7.其他應敘明事項:本公司104/06/23召開股東常會，全面改選董事及監察人，本公司同日
召開董事會，經全體出席董事一致推選黃立中先生續任本公司董事長；黃清晏先生續任
本公司副董事長"
